Ref,Val,Package,PosX,PosY,Rot,Side
"B1","1049P","1049P",23.712000,-93.637100,180.000000,top
"C1","4.7uF","C_0805_2012Metric",42.856000,-60.264000,90.000000,top
"C2","0.1uF","C_0805_2012Metric",40.301000,-60.264000,90.000000,top
"C3","0.1uF","C_0805_2012Metric",46.526000,-61.976000,90.000000,top
"C4","4.7uF","C_0805_2012Metric",48.926000,-61.976000,90.000000,top
"C5","1uF","C_0805_2012Metric",42.736000,0.762000,180.000000,top
"C6","0.1uF","C_0805_2012Metric",42.736000,3.048000,0.000000,top
"C7","0.1uF","C_0805_2012Metric",42.750000,-9.852000,180.000000,top
"C8","12pF","C_0805_2012Metric",31.894400,-7.627000,180.000000,top
"C9","12pF","C_0805_2012Metric",35.619400,-7.627000,0.000000,top
"C10","22uF","C_0805_2012Metric",42.800000,-13.452000,180.000000,top
"C11","10uF","C_0805_2012Metric",-16.260000,-119.126000,0.000000,top
"C12","1uF","C_0805_2012Metric",29.000000,-85.344000,180.000000,top
"C13","1uF","C_0805_2012Metric",-13.672000,-128.778000,0.000000,top
"C14","4.7uF","C_0805_2012Metric",28.238000,-56.896000,90.000000,top
"C15","10uF","C_0805_2012Metric",-24.594000,-128.016000,0.000000,top
"C16","4.7uF","C_0805_2012Metric",31.286000,-62.738000,0.000000,top
"C17","100uF","CAPPM3528X210N",30.524000,-92.644000,0.000000,top
"C18","2.2uF","C_0805_2012Metric",30.016000,-95.692000,0.000000,top
"C19","1uF","C_0805_2012Metric",31.286000,-65.024000,0.000000,top
"C20","10uF","C_0805_2012Metric",34.842000,-106.172000,0.000000,top
"C21","0.1uF","C_0805_2012Metric",34.588000,-68.326000,90.000000,top
"C22","1uF","C_0805_2012Metric",-22.562000,-51.562000,90.000000,top
"C23","100uF","CAPPM3528X210N",-24.432500,-40.186000,180.000000,top
"C24","0.1uF","C_0805_2012Metric",-23.762000,-37.180600,180.000000,top
"C25","10nF","C_0805_2012Metric",-23.762000,-34.920200,180.000000,top
"C26","68pF","C_0805_2012Metric",-23.780000,-32.636000,180.000000,top
"C27","47pF","C_0805_2012Metric",-37.085500,-28.392000,0.000000,top
"C28","0.1uF","C_0805_2012Metric",-25.356000,-8.636000,0.000000,top
"C29","15pF","C_0805_2012Metric",-23.780000,-30.336000,180.000000,top
"C30","47pF","C_0805_2012Metric",-41.262000,-28.392000,180.000000,top
"C31","47pF","C_0805_2012Metric",-45.438500,-28.448000,180.000000,top
"C32","47pF","C_0805_2012Metric",-32.956000,-28.392000,0.000000,top
"C33","0.1uF","C_0805_2012Metric",-32.956000,-30.740000,0.000000,top
"C34","0.1uF","C_0805_2012Metric",-22.308000,-1.778000,90.000000,top
"CR1","PESD0402-140","PESD0402-140",-37.452000,-30.424000,0.000000,top
"CR2","PESD0402-140","PESD0402-140",-40.895500,-30.424000,180.000000,top
"CR3","PESD0402-140","PESD0402-140",-45.072000,-30.480000,180.000000,top
"CR4","PESD0402-140","PESD0402-140",-33.322500,-32.710000,0.000000,top
"D1","SP0503BAHT","SOT-143",41.840000,-56.708000,0.000000,top
"D2","LED(Orange)","LED_0805_2012Metric",1.314000,-32.766000,0.000000,top
"D3","LED(Red)","LED_0805_2012Metric",-12.510000,-108.712000,0.000000,top
"D4","LED(Green)","LED_0805_2012Metric",-12.510000,-113.248000,0.000000,top
"D5","LED(Red)","LED_0805_2012Metric",-12.510000,-110.998000,0.000000,top
"D6","SS34LW_RVG","SODFL3718X102N",-13.727500,-124.968000,90.000000,top
"D7","SS34LW_RVG","SODFL3718X102N",-15.450000,-136.144000,180.000000,top
"D8","LED(Green)","LED_0805_2012Metric",19.856000,-61.976000,180.000000,top
"D9","SS34LW_RVG","SODFL3718X102N",30.016000,-106.656000,180.000000,top
"D10","LED(Red)","LED_0805_2012Metric",30.524000,-76.518000,-90.000000,top
"D11","LED(Orange)","LED_0805_2012Metric",-28.396000,1.245000,0.000000,top
"F1","0685P2000-01","0685P2000-01",-28.960000,-111.760000,0.000000,top
"F2","0685P2000-01","0685P2000-01",34.080000,-73.152000,0.000000,top
"FB1","FBMH2012HM221-TV","BEADC2012X105N",-23.770000,-28.136000,180.000000,top
"J1","USB4145-03-0230-C","GCT_USB4145-03-0230-C_REVA",32.696000,-54.930000,-90.000000,top
"J2","JTAG","PinHeader_1x04_P2.54mm_Vertical",35.106000,-39.116000,90.000000,top
"J3","JTAG","CNC_3221-10-0100-00",20.507500,-19.766000,-90.000000,top
"J4","2604-3102","2604-3102",17.630076,-122.174000,180.000000,top
"J5","ST1W008S4AR1500","JAE_ST1W008S4AR1500",6.140000,-44.704000,180.000000,top
"J6","2604-3105","2604-3105",48.244077,-122.174000,180.000000,top
"J7","2604-3102","2604-3102",-41.104000,-122.174000,180.000000,top
"J8","SOLAR_CRNT_JMPR","PinHeader_1x02_P2.54mm_Vertical",-34.754000,-112.014000,0.000000,top
"J9","BAT_CRNT_JMPR","PinHeader_1x02_P2.54mm_Vertical",34.334000,-79.756000,180.000000,top
"J10","2604-3102","2604-3102",47.134000,-77.489999,180.000000,top
"J11","CONUFL001-SMD-T","LINX_CONUFL001-SMD-T",-18.920000,-21.848500,-90.000000,top
"J12","SIM8060-6-0-14-00-A","GCT_SIM8060-6-0-14-00-A",-40.342000,-42.114000,90.000000,top
"L1","SRP4020T-5R6M","IND_SRP4020TA-5R6M",-14.942000,-132.334000,180.000000,top
"L2","LQH43CN100K03L","IND_LQH43CN100K03L",29.000000,-101.092000,-90.000000,top
"LS1","PS1240P02BT","XDCR_PS1240P02BT",15.284000,-2.794000,90.000000,top
"MOSFET1","SSM3J340R_LF","SSM3J340R_LF",-24.388000,-112.395000,90.000000,top
"MOSFET2","SSM3J340R_LF","SSM3J340R_LF",29.254000,-72.390000,180.000000,top
"Q1","MMDT3904","SOT-363_SC-70-6",40.430000,-50.254500,-90.000000,top
"Q2","BC847","SOT-23",25.444000,-8.128000,90.000000,top
"Q3","BSS214NW","SOT-323_SC-70",16.300000,-45.212000,-90.000000,top
"Q4","BC847","SOT-23",-39.326000,-4.826000,-90.000000,top
"Q5","BC847","SOT-23",-36.106000,1.778000,90.000000,top
"R1","22.1K","R_0805_2012Metric",37.776000,-59.502000,-90.000000,top
"R2","47.5K","R_0805_2012Metric",37.776000,-63.312000,-90.000000,top
"R3","5.1K","R_0805_2012Metric",37.636000,-52.173500,90.000000,top
"R4","1K","R_0805_2012Metric",51.212000,-61.976000,90.000000,top
"R5","10K","R_0805_2012Metric",37.382000,-48.514000,-90.000000,top
"R6","10K","R_0805_2012Metric",42.970000,-50.292000,90.000000,top
"R7","5.1K","R_0805_2012Metric",27.730000,-52.578000,0.000000,top
"R8","10K","R_0805_2012Metric",42.716000,-1.524000,180.000000,top
"R9","0","R_0805_2012Metric",34.858844,-12.650390,-90.000000,top
"R10","0","R_0805_2012Metric",32.633844,-12.650390,-90.000000,top
"R11","10K","R_0805_2012Metric",25.444000,-11.684000,180.000000,top
"R12","10M","R_0805_2012Metric",33.756900,-9.777000,0.000000,top
"R13","10K","R_0805_2012Metric",30.104444,-38.862000,90.000000,top
"R14","1K","R_0805_2012Metric",25.444000,-3.810000,-90.000000,top
"R15","10K","R_0805_2012Metric",38.398000,-12.700000,90.000000,top
"R16","4.7K","R_0805_2012Metric",18.078000,-29.903500,-90.000000,top
"R17","4.7K","R_0805_2012Metric",21.888000,-30.553500,-90.000000,top
"R18","10K","R_0805_2012Metric",16.300000,-41.402000,-90.000000,top
"R19","1K","R_0805_2012Metric",5.149000,-32.766000,180.000000,top
"R20","4.7K","R_0805_2012Metric",-16.260000,-108.712000,0.000000,top
"R21","0.1","R_2512_6332Metric",-20.259000,-116.286000,-90.000000,top
"R22","21K","R_0805_2012Metric",-16.280000,-116.840000,0.000000,top
"R23","10K","R_0805_2012Metric",-12.600500,-116.840000,0.000000,top
"R24","4.7K","R_0805_2012Metric",-16.260000,-113.248000,180.000000,top
"R25","4.7K","R_0805_2012Metric",-16.260000,-110.998000,180.000000,top
"R26","180K","R_0805_2012Metric",-21.086000,-124.968000,-90.000000,top
"R27","91K","R_0805_2012Metric",-23.245000,-124.968000,-90.000000,top
"R28","330K","R_0805_2012Metric",-25.404000,-124.968000,90.000000,top
"R29","3.2K","R_0805_2012Metric",25.952000,-56.896000,-90.000000,top
"R30","0.1","R_2512_6332Metric",-20.276000,-132.588000,-90.000000,top
"R31","1K","R_0805_2012Metric",23.769500,-61.976000,180.000000,top
"R32","100K","R_0805_2012Metric",32.302000,-85.852000,90.000000,top
"R33","47K","R_0805_2012Metric",34.842000,-103.886000,180.000000,top
"R34","4.7K","R_0805_2012Metric",36.112000,-100.941500,-90.000000,top
"R35","1K","R_0805_2012Metric",30.524000,-80.518000,-90.000000,top
"R36","10K","R_0805_2012Metric",-33.484000,-2.088500,-90.000000,top
"R37","100K","R_0805_2012Metric",-17.990000,-48.363500,-90.000000,top
"R38","47K","R_0805_2012Metric",-36.024000,-3.913500,90.000000,top
"R39","10K","R_0805_2012Metric",-39.916000,0.762000,180.000000,top
"R40","1K","R_0805_2012Metric",-32.296000,1.270000,0.000000,top
"R41","0","R_0805_2012Metric",43.224000,-107.592500,90.000000,top
"R42","0","R_0805_2012Metric",23.122944,-108.163390,0.000000,top
"R43","10K","R_0805_2012Metric",23.122944,-105.877390,0.000000,top
"RV1","ESD_RST_IN","R_0805_2012Metric",-43.964499,-8.536000,180.000000,top
"SW1","BOOT","1977223-6",22.967500,-42.672000,-90.000000,top
"SW2","RESET","1977223-6",35.083300,0.867110,180.000000,top
"SW3","CAT_M1_RST","1977223-6",-45.302000,-1.411000,-90.000000,top
"U1","CP2102N-Axx-xQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",48.848000,-56.708000,0.000000,top
"U2","ESP32-WROOM-32E_(16MB)","XCVR_ESP32-WROOM-32E_(16MB)",38.814444,-25.282000,-90.000000,top
"U3","TCA9534","TSSOP-16_4.4x5mm_P0.65mm",12.261000,-32.441000,0.000000,top
"U4","INA219BxD","SOIC-8_3.9x4.9mm_P1.27mm",-26.355000,-117.406000,0.000000,top
"U5","LT3652IMSE","MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm",-17.530000,-124.356500,-90.000000,top
"U6","TPS22967DSGR","SON50P200X200X80-9N",28.746000,-88.834000,-90.000000,top
"U7","MCP73832-2-OT","SOT-23-5",27.496000,-60.946000,90.000000,top
"U8","INA219BxD","SOIC-8_3.9x4.9mm_P1.27mm",-26.355000,-132.334000,0.000000,top
"U9","MIC2288YD5-TR","SOT95P280X100-5N",33.064000,-100.584000,90.000000,top
"U10","XC6215B332MR-G","XC6215B332MR-G",31.286000,-68.326000,-90.000000,top
"U11","TPS22967DSGR","SON50P200X200X80-9N",-22.562000,-46.736000,90.000000,top
"U12","SARA-R410M-02B","XCVR_SARA-R410M-02B",-35.330000,-18.548500,-90.000000,top
"U13","TXB0104PW","TSSOP-14_4.4x5mm_P0.65mm",-27.642000,-4.572000,0.000000,top
"Y1","32.768KHz","XTAL320X150X90",33.775200,-5.352000,0.000000,top
